Customer_ID,Age,Gender,Location,Device,Customer_Type,Channel,Campaign_Type,Impressions,Clicks,Conversions,Campaign_Cost,Revenue,Discount_Used,Bounce_Rate_%,Session_Duration_sec,Email_Opened,Ad_Position,Date,Month
CUST100022,50,Male,Delhi,Mobile,Returning,Social Media,Conversion,61004,5619,11,"$8,507.00","$14,357.00",Yes,30.57,667,No,Top,1/31/2024,January
CUST100023,29,Female,Delhi,Desktop,Returning,Social Media,Consideration,46201,2505,28,"$5,498.00","$4,123.00",Yes,72.11,531,Yes,Middle,2/29/2024,February
CUST100024,39,Male,Hyderabad,Desktop,Returning,Influencer,Conversion,35771,3384,42,"$8,212.00","$30,133.00",Yes,51.16,392,Yes,Middle,7/9/2024,July
CUST100025,42,Female,Ahmedabad,Mobile,New,Organic,Awareness,22944,4843,87,"$3,669.00","$20,498.00",Yes,81.61,452,No,Top,5/22/2024,May
CUST100026,44,Male,Ahmedabad,Tablet,New,Influencer,Awareness,10162,2151,343,"$6,853.00","$38,000.00",No,55.51,794,Yes,Middle,9/10/2024,September
CUST100027,59,Female,Pune,Tablet,Returning,Affiliate,Awareness,53151,4484,110,"$4,041.00","$6,022.00",No,23.14,159,No,Bottom,1/27/2024,January
CUST100028,45,Male,Chennai,Desktop,Returning,Influencer,Consideration,77858,3993,368,"$1,534.00","$4,302.00",Yes,89.44,371,Yes,Top,8/12/2024,August
CUST100029,33,Male,Mumbai,Tablet,New,Affiliate,Awareness,13752,1204,68,$483.00,"$8,853.00",No,50.16,791,No,Bottom,4/20/2024,April
CUST100030,32,Female,Pune,Tablet,New,Influencer,Consideration,27714,5011,118,"$2,243.00","$6,996.00",No,30.06,50,No,Bottom,7/15/2024,July
CUST100031,20,Female,Kolkata,Mobile,Returning,Affiliate,Conversion,35829,2373,266,$339.00,"$35,538.00",No,36.34,273,Yes,Top,8/9/2024,August
CUST100032,54,Male,Pune,Tablet,New,Organic,Awareness,16850,5615,362,"$9,194.00","$27,134.00",Yes,19.7,380,No,Top,2/27/2024,February
CUST100033,24,Male,Ahmedabad,Mobile,Returning,Influencer,Consideration,20487,1502,246,"$6,896.00","$17,036.00",No,15.92,472,No,Middle,9/23/2024,September
CUST100034,38,Female,Delhi,Desktop,Returning,Influencer,Consideration,50038,5879,318,"$9,830.00","$26,901.00",No,46.05,399,Yes,Middle,8/25/2024,August
CUST100035,26,Female,Delhi,Desktop,New,Google Ads,Consideration,7261,3687,21,"$3,339.00","$36,845.00",Yes,86.15,848,No,Top,11/7/2024,November
CUST100036,56,Male,Pune,Mobile,Returning,Influencer,Awareness,24858,4825,398,"$6,504.00","$15,403.00",Yes,19.84,827,Yes,Top,4/3/2024,April
CUST100037,35,Male,Ahmedabad,Mobile,Returning,Affiliate,Consideration,55101,219,392,"$8,311.00","$20,925.00",Yes,82.22,772,Yes,Bottom,12/21/2024,December
CUST100038,21,Female,Ahmedabad,Desktop,Returning,Google Ads,Awareness,4251,354,325,"$2,383.00","$38,908.00",No,73.74,361,Yes,Bottom,9/2/2024,September
CUST100039,42,Female,Ahmedabad,Mobile,Returning,Affiliate,Awareness,6344,3433,191,"$9,743.00","$37,094.00",No,74.51,564,Yes,Middle,6/1/2024,June
CUST100040,31,Female,Delhi,Desktop,New,Influencer,Conversion,29653,198,89,"$9,034.00","$35,377.00",No,66.8,132,No,Top,1/23/2024,January
CUST100041,26,Female,Ahmedabad,Desktop,New,Influencer,Conversion,8991,469,133,"$8,204.00","$14,289.00",Yes,57.35,402,No,Middle,7/3/2024,July
CUST100042,43,Female,Hyderabad,Desktop,New,Affiliate,Awareness,16915,1744,351,"$5,542.00","$35,385.00",No,19.71,349,No,Middle,9/20/2024,September
CUST100043,19,Male,Mumbai,Desktop,Returning,Organic,Conversion,9233,1199,298,"$2,610.00","$6,884.00",Yes,56.05,563,No,Bottom,7/3/2024,July
CUST100044,37,Male,Kolkata,Desktop,New,Organic,Consideration,31016,4855,124,"$2,565.00","$24,412.00",Yes,38.16,822,No,Bottom,10/17/2024,October
CUST100045,45,Female,Ahmedabad,Desktop,New,Organic,Awareness,50198,887,354,"$5,765.00","$10,079.00",No,18.42,560,No,Middle,12/21/2024,December
CUST100046,24,Male,Pune,Tablet,New,Social Media,Conversion,15259,997,189,"$8,767.00","$32,839.00",No,74.31,75,Yes,Middle,2/10/2024,February
CUST100047,25,Male,Mumbai,Tablet,Returning,Google Ads,Consideration,25455,5535,322,"$5,324.00","$35,679.00",Yes,53.72,73,Yes,Middle,8/2/2024,August
CUST100048,52,Female,Hyderabad,Desktop,Returning,Google Ads,Awareness,54706,5350,81,"$5,904.00","$21,589.00",Yes,69.6,198,No,Bottom,6/28/2024,June
CUST100049,31,Male,Kolkata,Tablet,Returning,Organic,Consideration,27261,3660,226,"$6,566.00","$8,083.00",Yes,48.36,175,No,Middle,5/29/2024,May
CUST100050,34,Male,Delhi,Mobile,Returning,Influencer,Awareness,24610,685,179,"$9,601.00","$29,868.00",No,54.14,331,No,Bottom,11/8/2024,November
CUST100051,53,Male,Bangalore,Mobile,Returning,Google Ads,Conversion,13195,2092,355,"$7,359.00","$16,409.00",No,66.99,404,Yes,Top,11/13/2024,November
CUST100052,57,Female,Hyderabad,Desktop,New,Affiliate,Consideration,76293,2543,323,$661.00,"$33,641.00",No,29.76,268,No,Top,3/10/2024,March
CUST100053,21,Female,Bangalore,Tablet,New,Influencer,Conversion,51372,802,312,"$7,893.00","$18,401.00",Yes,77.76,658,Yes,Middle,10/6/2024,October
CUST100054,19,Male,Mumbai,Mobile,New,Google Ads,Consideration,65953,4317,151,"$8,234.00","$28,218.00",No,43.68,630,Yes,Middle,11/5/2024,November
CUST100055,23,Male,Pune,Mobile,Returning,Email,Consideration,33438,4725,153,"$6,149.00","$24,194.00",Yes,66.68,564,No,Bottom,3/28/2024,March
CUST100056,59,Male,Kolkata,Mobile,New,Google Ads,Consideration,32320,1507,304,"$5,767.00","$7,953.00",Yes,36.09,480,Yes,Top,1/20/2024,January
CUST100057,21,Male,Delhi,Mobile,New,Organic,Consideration,9091,4552,220,"$4,509.00","$27,475.00",Yes,66.2,456,Yes,Top,5/3/2024,May
CUST100058,46,Male,Kolkata,Tablet,Returning,Affiliate,Conversion,48513,4987,293,"$6,296.00","$9,108.00",Yes,13.48,630,Yes,Middle,6/7/2024,June
CUST100059,35,Male,Hyderabad,Mobile,Returning,Google Ads,Consideration,12284,3570,35,"$6,643.00","$3,512.00",Yes,84.34,366,Yes,Bottom,12/6/2024,December
CUST100060,43,Female,Delhi,Mobile,Returning,Social Media,Conversion,65212,3470,121,"$8,648.00","$34,345.00",No,72.95,353,No,Bottom,5/30/2024,May
CUST100061,51,Male,Bangalore,Mobile,Returning,Organic,Consideration,28728,2178,181,"$5,742.00","$2,365.00",Yes,63.18,41,Yes,Middle,6/4/2024,June
CUST100062,27,Male,Bangalore,Desktop,New,Social Media,Awareness,63486,142,392,"$6,331.00","$4,125.00",Yes,35.91,77,No,Bottom,7/26/2024,July
CUST100063,53,Female,Chennai,Mobile,Returning,Influencer,Awareness,24966,5610,95,"$1,834.00","$32,828.00",No,77.41,112,No,Bottom,7/10/2024,July
CUST100064,31,Male,Kolkata,Mobile,Returning,Social Media,Consideration,12313,5105,103,"$1,149.00","$10,499.00",No,71.41,656,Yes,Middle,12/16/2024,December
CUST100065,48,Male,Ahmedabad,Tablet,Returning,Affiliate,Awareness,7120,2502,81,"$6,766.00","$14,959.00",No,46.25,182,No,Middle,8/21/2024,August
CUST100066,32,Male,Pune,Mobile,New,Email,Consideration,26424,4093,23,"$8,713.00","$4,191.00",Yes,25.8,823,Yes,Middle,1/15/2024,January
CUST100067,25,Male,Ahmedabad,Mobile,New,Email,Conversion,73958,979,167,"$9,093.00","$14,654.00",Yes,24.04,837,Yes,Top,11/19/2024,November
CUST100068,31,Female,Bangalore,Mobile,New,Influencer,Awareness,54506,5150,337,"$9,485.00","$17,228.00",No,49.06,422,No,Middle,4/11/2024,April
CUST100069,40,Male,Pune,Desktop,New,Influencer,Consideration,35357,1426,102,"$9,778.00","$5,439.00",No,72.67,73,Yes,Top,1/5/2024,January
CUST100070,57,Female,Chennai,Tablet,New,Social Media,Consideration,17439,3565,263,"$4,374.00","$38,032.00",No,67.16,722,Yes,Top,4/21/2024,April
CUST100071,38,Male,Hyderabad,Tablet,Returning,Affiliate,Conversion,76182,4624,230,"$4,422.00","$19,173.00",No,49.49,768,No,Middle,9/16/2024,September
CUST100072,33,Male,Chennai,Desktop,Returning,Social Media,Conversion,63243,583,181,"$9,522.00","$16,453.00",No,26.35,883,No,Bottom,1/10/2024,January
CUST100073,35,Female,Pune,Desktop,Returning,Affiliate,Consideration,69311,744,114,"$2,703.00","$35,322.00",Yes,29.14,183,Yes,Bottom,6/1/2024,June
CUST100074,41,Male,Bangalore,Tablet,New,Affiliate,Consideration,15578,266,266,"$6,997.00","$33,841.00",No,14.61,524,No,Top,4/17/2024,April
CUST100075,43,Female,Mumbai,Mobile,Returning,Email,Consideration,58646,2648,362,"$4,224.00","$32,014.00",Yes,24.14,498,Yes,Bottom,8/24/2024,August
CUST100076,42,Female,Pune,Tablet,New,Affiliate,Consideration,38214,5658,226,"$5,573.00","$21,575.00",No,11.02,101,No,Top,7/23/2024,July
CUST100077,58,Female,Delhi,Desktop,New,Google Ads,Consideration,1345,4986,215,"$8,767.00","$23,969.00",No,63.96,221,Yes,Middle,12/3/2024,December
CUST100078,46,Male,Ahmedabad,Mobile,Returning,Affiliate,Consideration,31178,424,350,"$8,712.00","$30,621.00",No,57.06,179,No,Top,4/27/2024,April
CUST100079,32,Male,Mumbai,Tablet,Returning,Email,Conversion,7153,2573,377,"$7,554.00","$1,494.00",No,89.04,845,No,Top,2/24/2024,February
CUST100080,18,Male,Kolkata,Mobile,Returning,Organic,Awareness,67355,1267,297,"$8,058.00","$29,191.00",No,71.02,455,No,Bottom,10/7/2024,October
CUST100081,42,Male,Pune,Mobile,Returning,Social Media,Consideration,43170,2414,261,"$8,542.00","$4,536.00",Yes,29.7,39,Yes,Top,2/12/2024,February
CUST100082,24,Female,Delhi,Desktop,New,Affiliate,Consideration,21987,4978,2,"$9,333.00","$1,953.00",No,66.63,296,No,Bottom,3/2/2024,March
CUST100083,26,Male,Ahmedabad,Tablet,New,Google Ads,Conversion,25317,1247,329,"$8,365.00","$39,192.00",No,10.97,690,No,Top,9/15/2024,September
CUST100084,41,Male,Kolkata,Desktop,New,Influencer,Awareness,68926,652,353,"$8,619.00","$10,208.00",No,88.89,543,Yes,Middle,1/11/2024,January
CUST100085,18,Female,Chennai,Tablet,Returning,Social Media,Conversion,35893,3400,320,"$2,576.00","$19,981.00",No,59.15,82,Yes,Middle,10/23/2024,October
CUST100086,25,Female,Mumbai,Tablet,New,Influencer,Conversion,6013,4369,395,"$1,670.00","$30,085.00",No,19.57,18,No,Bottom,3/19/2024,March
CUST100087,41,Male,Pune,Mobile,Returning,Google Ads,Consideration,61342,678,35,"$4,284.00","$33,894.00",No,49.88,168,No,Bottom,9/1/2024,September
CUST100088,28,Female,Hyderabad,Mobile,New,Email,Consideration,9144,2070,183,"$6,638.00","$10,019.00",No,85.25,153,Yes,Top,2/21/2024,February
CUST100089,34,Female,Chennai,Mobile,Returning,Organic,Conversion,34897,5327,179,"$8,592.00","$33,827.00",No,77.98,812,Yes,Bottom,2/18/2024,February
CUST100090,25,Female,Delhi,Desktop,New,Email,Consideration,24020,3441,375,"$7,772.00","$8,184.00",Yes,33.91,759,Yes,Bottom,12/6/2024,December
CUST100091,52,Female,Hyderabad,Mobile,Returning,Organic,Consideration,48012,1143,124,"$5,107.00","$25,233.00",No,41.69,127,No,Top,10/17/2024,October
CUST100092,52,Female,Bangalore,Desktop,Returning,Social Media,Consideration,54369,4572,159,"$4,557.00","$39,912.00",Yes,78.28,701,No,Top,1/19/2024,January
CUST100093,50,Male,Chennai,Mobile,New,Affiliate,Awareness,33826,903,394,"$7,707.00","$31,064.00",No,82,708,No,Middle,2/10/2024,February
CUST100094,22,Male,Ahmedabad,Desktop,Returning,Affiliate,Awareness,41338,716,384,"$4,788.00","$4,367.00",No,83.17,150,No,Middle,1/11/2024,January
CUST100095,59,Male,Chennai,Tablet,New,Influencer,Consideration,62811,4444,111,"$5,605.00","$2,123.00",No,85.83,741,No,Middle,2/22/2024,February
CUST100096,56,Male,Ahmedabad,Desktop,Returning,Email,Conversion,44175,5445,133,"$1,404.00","$34,485.00",Yes,50.04,506,No,Top,8/22/2024,August
CUST100097,58,Male,Pune,Desktop,New,Affiliate,Awareness,64579,734,334,"$6,115.00","$32,825.00",No,78.92,188,Yes,Bottom,4/24/2024,April
CUST100098,45,Male,Pune,Desktop,Returning,Organic,Conversion,67104,4009,201,$500.00,"$31,436.00",Yes,37.76,580,No,Middle,6/28/2024,June
CUST100099,24,Male,Delhi,Tablet,New,Affiliate,Consideration,44214,261,151,"$9,194.00","$25,597.00",No,77.05,137,No,Middle,10/10/2024,October
CUST100100,26,Female,Chennai,Desktop,New,Email,Conversion,42720,4294,327,"$1,182.00","$32,413.00",Yes,37.8,80,No,Bottom,2/25/2024,February
CUST100101,25,Male,Pune,Tablet,New,Email,Conversion,11462,5188,336,"$6,460.00","$29,155.00",No,58.67,515,Yes,Top,10/12/2024,October
CUST100102,29,Male,Bangalore,Mobile,New,Google Ads,Awareness,65606,2247,76,"$4,633.00","$19,983.00",No,47.48,738,No,Top,8/22/2024,August
CUST100103,51,Male,Ahmedabad,Mobile,Returning,Influencer,Conversion,73846,3025,264,"$7,192.00","$1,756.00",Yes,81.44,441,Yes,Middle,4/28/2024,April
CUST100104,50,Female,Kolkata,Tablet,Returning,Email,Conversion,74032,4866,253,"$6,789.00",$794.00,Yes,15.32,74,No,Top,3/2/2024,March
CUST100105,40,Male,Kolkata,Desktop,New,Google Ads,Awareness,17333,1359,69,"$9,760.00","$30,924.00",Yes,85.9,59,Yes,Middle,9/21/2024,September
CUST100106,41,Male,Kolkata,Mobile,New,Email,Consideration,69675,1763,22,"$9,819.00","$34,877.00",No,46.97,439,Yes,Middle,10/21/2024,October
CUST100107,54,Female,Pune,Desktop,Returning,Social Media,Conversion,2413,2698,341,"$7,921.00","$37,840.00",No,48.51,300,No,Bottom,12/21/2024,December
CUST100108,52,Male,Chennai,Desktop,New,Organic,Consideration,44257,1480,212,"$2,764.00","$23,451.00",Yes,76.23,840,No,Middle,5/27/2024,May
CUST100109,57,Male,Kolkata,Tablet,New,Organic,Consideration,57576,4464,272,"$6,225.00","$22,931.00",No,63.29,340,No,Bottom,3/1/2024,March
CUST100110,39,Female,Mumbai,Mobile,New,Social Media,Consideration,71364,4634,97,"$2,402.00","$8,246.00",No,86.3,875,No,Top,11/27/2024,November
CUST100111,44,Male,Hyderabad,Tablet,Returning,Social Media,Awareness,38677,406,122,"$9,653.00","$24,882.00",Yes,53.73,475,Yes,Middle,3/14/2024,March
CUST100112,52,Female,Chennai,Tablet,New,Email,Consideration,52197,5420,24,"$5,791.00","$21,572.00",Yes,54.69,40,No,Bottom,11/16/2024,November
CUST100113,18,Male,Ahmedabad,Tablet,Returning,Affiliate,Conversion,62339,1461,367,"$3,496.00","$26,455.00",Yes,87.74,69,No,Top,11/18/2024,November
CUST100114,52,Male,Bangalore,Tablet,Returning,Affiliate,Consideration,71363,820,37,"$8,515.00","$20,680.00",No,84.12,793,No,Bottom,4/1/2024,April
CUST100115,54,Male,Chennai,Desktop,Returning,Social Media,Consideration,30618,626,258,$391.00,"$27,041.00",Yes,26.7,828,No,Bottom,7/7/2024,July
CUST100116,31,Female,Bangalore,Mobile,New,Influencer,Consideration,36729,4459,194,"$8,987.00","$21,229.00",Yes,34.56,887,No,Bottom,10/8/2024,October
CUST100117,20,Female,Chennai,Mobile,New,Organic,Conversion,8033,1937,269,"$3,735.00","$16,794.00",No,60.03,832,No,Top,8/5/2024,August
CUST100118,18,Female,Kolkata,Mobile,New,Google Ads,Consideration,64571,3129,265,"$2,910.00","$25,188.00",Yes,85.15,302,Yes,Middle,1/13/2024,January
CUST100119,22,Male,Hyderabad,Desktop,Returning,Social Media,Consideration,67495,385,65,"$7,337.00","$16,992.00",No,55.07,34,Yes,Top,11/23/2024,November
CUST100120,43,Male,Hyderabad,Desktop,New,Organic,Consideration,65323,4496,198,"$4,030.00","$5,487.00",Yes,68.63,37,Yes,Middle,11/4/2024,November
CUST100121,31,Female,Bangalore,Tablet,New,Google Ads,Awareness,44678,5911,141,"$6,922.00","$35,109.00",Yes,17.52,619,No,Middle,9/12/2024,September
CUST100122,56,Female,Chennai,Tablet,Returning,Google Ads,Conversion,30911,4061,240,"$4,828.00","$31,004.00",No,51.81,286,No,Bottom,11/28/2024,November
CUST100123,44,Male,Hyderabad,Tablet,Returning,Social Media,Awareness,17340,1004,208,"$9,607.00","$8,165.00",Yes,21.81,762,No,Top,11/17/2024,November
CUST100124,26,Male,Delhi,Tablet,Returning,Affiliate,Conversion,8668,1144,125,$610.00,"$13,090.00",No,30.85,62,No,Middle,11/6/2024,November
CUST100125,32,Male,Chennai,Mobile,New,Influencer,Consideration,59728,510,265,"$2,393.00","$9,491.00",Yes,23.3,514,Yes,Middle,4/12/2024,April
CUST100126,32,Male,Hyderabad,Tablet,New,Organic,Conversion,38798,4993,354,"$7,610.00","$22,162.00",No,23.27,868,Yes,Bottom,6/18/2024,June
CUST100127,43,Female,Mumbai,Desktop,New,Social Media,Conversion,66680,5594,304,"$4,367.00","$13,593.00",No,89.34,594,Yes,Top,7/17/2024,July
CUST100128,59,Male,Mumbai,Desktop,Returning,Google Ads,Conversion,76557,5473,175,"$2,571.00","$7,021.00",No,33.86,153,No,Bottom,2/2/2024,February
CUST100129,30,Male,Delhi,Desktop,New,Organic,Conversion,13201,3664,386,"$6,610.00","$26,546.00",No,55.24,252,No,Middle,10/6/2024,October
CUST100130,49,Male,Hyderabad,Tablet,Returning,Email,Awareness,73300,4244,46,"$5,394.00","$8,385.00",Yes,11.61,23,Yes,Middle,4/30/2024,April
CUST100131,56,Male,Mumbai,Mobile,New,Email,Conversion,27286,4090,59,"$9,712.00","$31,420.00",Yes,74.51,856,Yes,Top,3/31/2024,March
CUST100132,49,Male,Kolkata,Mobile,New,Organic,Awareness,21822,2046,280,"$4,383.00","$18,988.00",No,64.42,883,No,Middle,8/6/2024,August
CUST100133,21,Male,Chennai,Tablet,New,Organic,Awareness,47016,40,134,"$9,154.00",$697.00,No,28.3,819,Yes,Top,4/8/2024,April
CUST100134,47,Male,Pune,Tablet,New,Google Ads,Consideration,57015,47,332,"$6,147.00","$6,016.00",Yes,12.88,351,Yes,Bottom,8/11/2024,August
CUST100135,54,Female,Hyderabad,Desktop,New,Social Media,Conversion,71783,2517,120,"$1,361.00","$36,906.00",Yes,31.97,519,Yes,Bottom,6/15/2024,June
CUST100136,40,Female,Ahmedabad,Desktop,Returning,Affiliate,Consideration,68797,5038,166,"$8,122.00","$24,589.00",Yes,60.29,863,Yes,Middle,6/21/2024,June
CUST100137,56,Female,Delhi,Mobile,Returning,Social Media,Conversion,59886,3583,42,"$9,925.00","$23,625.00",No,11.22,204,Yes,Bottom,9/25/2024,September
CUST100138,32,Male,Hyderabad,Desktop,New,Influencer,Awareness,57879,4767,45,"$5,921.00","$20,498.00",Yes,16.03,880,No,Top,12/21/2024,December
CUST100139,46,Female,Bangalore,Desktop,New,Organic,Awareness,65316,4948,216,"$6,348.00","$36,914.00",Yes,42.75,39,Yes,Middle,7/30/2024,July
CUST100140,53,Male,Bangalore,Tablet,Returning,Email,Awareness,14801,1473,298,"$4,507.00","$28,039.00",No,24.08,330,No,Bottom,5/6/2024,May
CUST100141,30,Male,Mumbai,Mobile,New,Google Ads,Conversion,74536,2302,284,"$6,941.00","$30,347.00",Yes,60.54,54,No,Top,10/4/2024,October
CUST100142,49,Male,Ahmedabad,Tablet,Returning,Affiliate,Conversion,72053,2491,338,"$9,823.00","$23,237.00",No,23.97,124,Yes,Middle,2/25/2024,February
CUST100143,24,Male,Bangalore,Mobile,New,Social Media,Conversion,72883,5276,102,"$2,893.00","$1,221.00",No,89.49,652,Yes,Middle,11/23/2024,November
CUST100144,39,Female,Delhi,Tablet,New,Influencer,Conversion,75016,2149,85,"$1,624.00","$30,213.00",No,44.87,730,No,Middle,5/20/2024,May
CUST100145,45,Male,Ahmedabad,Mobile,Returning,Social Media,Conversion,17174,2432,193,"$5,176.00","$29,026.00",No,21.87,726,Yes,Middle,6/9/2024,June
CUST100146,19,Male,Mumbai,Desktop,Returning,Influencer,Consideration,1097,4880,213,"$8,550.00","$38,123.00",Yes,15.91,582,No,Bottom,8/17/2024,August
CUST100147,59,Female,Delhi,Mobile,New,Social Media,Conversion,37795,4855,354,"$6,766.00","$20,746.00",Yes,43.64,449,Yes,Bottom,12/18/2024,December
CUST100148,23,Female,Chennai,Mobile,Returning,Affiliate,Consideration,34825,4515,225,"$5,856.00","$14,245.00",No,74.73,785,No,Middle,9/28/2024,September
CUST100149,45,Female,Delhi,Tablet,Returning,Affiliate,Conversion,54252,1495,196,"$2,852.00","$24,410.00",Yes,45.11,809,Yes,Top,11/3/2024,November
CUST100150,45,Male,Bangalore,Mobile,New,Google Ads,Conversion,33940,955,154,"$4,850.00","$12,376.00",Yes,21.29,66,No,Top,2/27/2024,February
CUST100151,37,Female,Chennai,Mobile,New,Affiliate,Conversion,18462,254,337,$677.00,"$21,586.00",No,49.1,79,No,Middle,7/1/2024,July
CUST100152,47,Male,Bangalore,Mobile,New,Influencer,Conversion,8732,54,367,"$4,952.00","$30,513.00",Yes,36.99,85,No,Bottom,8/7/2024,August
CUST100153,28,Male,Delhi,Tablet,New,Google Ads,Awareness,4979,4754,2,"$6,746.00","$18,361.00",Yes,50.15,358,No,Middle,12/20/2024,December
CUST100154,45,Female,Bangalore,Mobile,Returning,Affiliate,Awareness,51467,358,311,"$9,721.00","$1,561.00",Yes,41.29,669,Yes,Top,10/11/2024,October
CUST100155,42,Female,Ahmedabad,Tablet,New,Email,Consideration,37546,4047,366,"$6,283.00","$34,574.00",No,61.83,118,Yes,Bottom,12/27/2024,December
CUST100156,56,Female,Bangalore,Desktop,New,Influencer,Consideration,50715,3545,319,"$1,052.00","$31,179.00",Yes,74.29,406,Yes,Top,9/11/2024,September
CUST100157,50,Male,Bangalore,Tablet,Returning,Google Ads,Conversion,47178,1522,276,"$1,733.00","$21,783.00",Yes,80.92,182,No,Bottom,4/18/2024,April
CUST100158,18,Male,Hyderabad,Mobile,Returning,Influencer,Conversion,11988,5998,23,"$7,370.00","$6,988.00",No,69.3,382,No,Bottom,3/6/2024,March
CUST100159,44,Male,Chennai,Desktop,New,Google Ads,Conversion,5904,3144,147,"$3,495.00","$24,144.00",Yes,38.4,145,Yes,Bottom,9/29/2024,September
CUST100160,30,Male,Ahmedabad,Mobile,New,Influencer,Conversion,12925,3703,307,"$8,138.00","$10,730.00",No,45.88,411,No,Bottom,2/7/2024,February
CUST100161,58,Male,Chennai,Tablet,Returning,Email,Awareness,71629,2510,12,"$4,711.00","$1,664.00",No,61.34,419,No,Bottom,8/7/2024,August
CUST100162,20,Male,Kolkata,Desktop,New,Affiliate,Consideration,46043,4535,217,"$1,836.00",$138.00,No,27.59,477,Yes,Bottom,7/9/2024,July
CUST100163,56,Female,Chennai,Desktop,Returning,Social Media,Consideration,62515,725,170,"$7,641.00","$20,755.00",No,66.14,298,No,Middle,12/23/2024,December
CUST100164,23,Male,Kolkata,Desktop,Returning,Social Media,Consideration,68712,4867,349,"$5,637.00","$34,334.00",Yes,61.98,529,No,Top,9/13/2024,September
CUST100165,25,Female,Delhi,Mobile,Returning,Social Media,Awareness,59477,4364,77,"$7,137.00","$20,203.00",No,62.52,633,No,Middle,5/17/2024,May
CUST100166,44,Female,Kolkata,Desktop,New,Google Ads,Conversion,5765,2360,238,"$2,022.00","$31,749.00",Yes,36.67,75,No,Middle,12/3/2024,December
